지점,지점명,일시,최고기온(°C),최저기온(°C),소형총증발량(mm)
159,부산,2021-10,28.4,5.5,132.3
159,부산,2021-11,22.3,3.6,113
159,부산,2021-12,17.8,-8.6,93.8
159,부산,2022-01,13.2,-6.1,103.4
159,부산,2022-02,15.2,-7.5,105.6
159,부산,2022-03,20.1,-.8,114.5
159,부산,2022-04,23.6,5.6,160.2
159,부산,2022-05,27.4,8.3,224.4
159,부산,2022-06,28.6,14.7,137.6
159,부산,2022-07,32.9,20.1,156.1
159,부산,2022-08,33.1,19.5,157.3
159,부산,2022-09,31,15.4,116.1
159,부산,2022-10,30.8,8.1,141.1
159,부산,2022-11,24.2,-.8,108.8
159,부산,2022-12,16.4,-6.5,95.2
159,부산,2023-01,17.2,-12,92.1
159,부산,2023-02,15.7,-2.7,93
159,부산,2023-03,23.6,0,135.6
159,부산,2023-04,25.1,4.9,154.5
159,부산,2023-05,25.3,9.1,147.2
159,부산,2023-06,28.9,16.2,175.1
159,부산,2023-07,33.1,20.4,149.5
159,부산,2023-08,35.2,23.5,187.7
159,부산,2023-09,31.7,16.6,140.2
159,부산,2023-10,26.5,8.8,171.8
159,부산,2023-11,25.7,-.9,127.7
159,부산,2023-12,20.7,-8.1,89.2
