지역,공연건수,개막편수,상연횟수,판매수,취소수,총 티켓판매수,총 티켓판매액
서울,1709,1704,3191,1706663,746977,959686,92422733
경기/인천,265,265,346,489199,184357,304842,32057918
충청도,153,153,199,218728,86337,132391,10605167
강원도,56,56,71,67502,24485,43017,2694475
경상도,511,511,629,785140,311452,473688,44348638
전라도,129,129,154,219719,103364,116355,11405313
제주도,20,20,23,9246,2725,6521,455500
