지역,공연건수,개막편수,상연횟수,판매수,취소수,총 티켓판매수,총 티켓판매액
서울,33 ,32 ,72 ,397208 ,164164 ,233044 ,29399612 
경기/인천,26 ,26 ,46 ,176196 ,72507 ,103689 ,12509021 
충청도,1 ,1 ,3 ,5737 ,3203 ,2534 ,368746 
강원도,0 ,0 ,0 ,0 ,0 ,0 ,0 
경상도,18 ,18 ,34 ,366979 ,190500 ,176479 ,22597107 
전라도,11 ,11 ,18 ,74871 ,29392 ,45479 ,5079006 
제주도,3 ,3 ,3 ,5492 ,2342 ,3150 ,352655 
